individualID,projectID,scientificName,scientificAbbreviation,dayCollected,monthCollected,yearCollected,locality,decimalLatitudeOriginal,decimalLongitudeOriginal,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,depthOfColonyinMetersOriginal,depthOfColonyinMetersCorrected,EcoPlotID_full,k_value_GBR1,long_GBR1,lat_GBR1,k_value_GBR4,long_GBR4,lat_GBR4,Site.Name,Depth,Chl_a_sum_mean_monthly_max,Chl_a_sum_median_monthly_max,Chl_a_sum_overall_mean,Chl_a_sum_overall_median,Chl_a_sum_cv_monthly_mean,Chl_a_sum_sd_monthly_mean,NO3_mean_monthly_max,NO3_median_monthly_max,NO3_overall_mean,NO3_overall_median,NO3_cv_monthly_mean,NO3_sd_monthly_mean,Oxygen_mean_monthly_max,Oxygen_median_monthly_max,Oxygen_overall_mean,Oxygen_overall_median,Oxygen_cv_monthly_mean,Oxygen_sd_monthly_mean,PH_mean_monthly_max,PH_median_monthly_max,PH_overall_mean,PH_overall_median,PH_cv_monthly_mean,PH_sd_monthly_mean,alk_mean_monthly_max,alk_median_monthly_max,alk_overall_mean,alk_overall_median,alk_cv_monthly_mean,alk_sd_monthly_mean,omega_ar_mean_monthly_max,omega_ar_median_monthly_max,omega_ar_overall_mean,omega_ar_overall_median,omega_ar_cv_monthly_mean,omega_ar_sd_monthly_mean
30,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022,CBLM_BA1S,-5.55,1.279466057,1.224585292,0.938109423,0.876572131,29.40398387,0.275841543,3.334195254,2.017057697,1.011044827,0.606219203,80.25306485,0.81139446,7084.870389,7065.73934,7006.088083,6974.890685,2.8865196,202.2321057,8.122430693,8.120281227,8.112067882,8.109289065,0.329276368,0.026711123,2250.128045,2250.68769,2247.449854,2247.243836,0.195945675,4.40378078,3.723814153,3.727227328,3.679078721,3.693026236,1.824206861,0.067114006
31,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022,CBLM_BA1S,-5.55,1.279466057,1.224585292,0.938109423,0.876572131,29.40398387,0.275841543,3.334195254,2.017057697,1.011044827,0.606219203,80.25306485,0.81139446,7084.870389,7065.73934,7006.088083,6974.890685,2.8865196,202.2321057,8.122430693,8.120281227,8.112067882,8.109289065,0.329276368,0.026711123,2250.128045,2250.68769,2247.449854,2247.243836,0.195945675,4.40378078,3.723814153,3.727227328,3.679078721,3.693026236,1.824206861,0.067114006
32,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022,CBLM_BA1S,-5.55,1.279466057,1.224585292,0.938109423,0.876572131,29.40398387,0.275841543,3.334195254,2.017057697,1.011044827,0.606219203,80.25306485,0.81139446,7084.870389,7065.73934,7006.088083,6974.890685,2.8865196,202.2321057,8.122430693,8.120281227,8.112067882,8.109289065,0.329276368,0.026711123,2250.128045,2250.68769,2247.449854,2247.243836,0.195945675,4.40378078,3.723814153,3.727227328,3.679078721,3.693026236,1.824206861,0.067114006
33,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022,CBLM_BA2S,-5.55,1.299750553,1.261087804,0.953220951,0.897332457,30.02663314,0.286220158,3.781061814,2.466351962,1.142153631,0.665380659,77.93868633,0.890179536,7086.028995,7066.898079,7005.39965,6974.566677,2.904751126,203.4894252,8.12293457,8.121492389,8.112531051,8.109653244,0.327162531,0.026541162,2250.269442,2250.677007,2247.535467,2247.223618,0.195330138,4.390114139,3.725203953,3.72936114,3.680506412,3.694232395,1.807549218,0.066526965
34,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022,CBLM_BA2S,-5.55,1.299750553,1.261087804,0.953220951,0.897332457,30.02663314,0.286220158,3.781061814,2.466351962,1.142153631,0.665380659,77.93868633,0.890179536,7086.028995,7066.898079,7005.39965,6974.566677,2.904751126,203.4894252,8.12293457,8.121492389,8.112531051,8.109653244,0.327162531,0.026541162,2250.269442,2250.677007,2247.535467,2247.223618,0.195330138,4.390114139,3.725203953,3.72936114,3.680506412,3.694232395,1.807549218,0.066526965
43,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
45,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
48,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
50,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
51,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
53,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
54,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
57,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
58,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,CBLM_LA1S,-5.55,1.302154534,1.264888091,0.954562422,0.895848713,30.07473133,0.287082084,3.817454367,2.525945454,1.153045641,0.673269442,77.61003683,0.894879147,7086.281996,7067.398407,7005.429758,6974.201553,2.907663479,203.6943226,8.123037583,8.121740621,8.112610532,8.109642009,0.326856709,0.026516612,2250.303368,2250.728508,2247.5595,2247.236497,0.195259343,4.388569911,3.725578651,3.728825857,3.680840008,3.694507216,1.804508388,0.066421067
59,ECO03,Acropora hyacinthus,Ahya,18,5,2021,North_Keppel,-23.085288,150.898847,-23.085288,150.898847,GPS EcoRRAP sites,60,1-May,3.1,KENK_FL1S,5.35,150.900371,-23.084904,5.5,150.898788,-23.086022,KENK_FL1S,-3,0.481467149,0.339344536,0.325819393,0.202866033,86.1613846,0.2807305,6.172075882,0.139611648,2.575302362,0.039780737,291.4708913,7.506256747,7136.061258,7115.637281,7012.262513,6973.921706,4.646614135,325.8327811,8.078390108,8.072418438,8.06433496,8.063384326,0.448228994,0.036146687,2214.371835,2216.732194,2189.684085,2196.108965,1.77218307,38.80521064,3.49003448,3.461715882,3.39177009,3.346938845,7.339746062,0.248947312
60,ECO03,Acropora hyacinthus,Ahya,18,5,2021,North_Keppel,-23.085288,150.898847,-23.085288,150.898847,GPS EcoRRAP sites,60,1-May,3.1,KENK_FL1S,5.35,150.900371,-23.084904,5.5,150.898788,-23.086022,KENK_FL1S,-3,0.481467149,0.339344536,0.325819393,0.202866033,86.1613846,0.2807305,6.172075882,0.139611648,2.575302362,0.039780737,291.4708913,7.506256747,7136.061258,7115.637281,7012.262513,6973.921706,4.646614135,325.8327811,8.078390108,8.072418438,8.06433496,8.063384326,0.448228994,0.036146687,2214.371835,2216.732194,2189.684085,2196.108965,1.77218307,38.80521064,3.49003448,3.461715882,3.39177009,3.346938845,7.339746062,0.248947312
61,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
62,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
63,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
64,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
65,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
66,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
67,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
68,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
69,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022,KEHW_BA1S,-5.55,0.541354499,0.4333087,0.37284049,0.233034229,83.12255876,0.309914555,5.289738379,0.298512596,2.257045566,0.056724219,237.842602,5.368215902,7159.451594,7129.670726,7032.247812,7015.315932,4.810755621,338.3042569,8.08017961,8.077249243,8.06634947,8.062144675,0.475056021,0.038319679,2214.090589,2215.944761,2193.677064,2200.488784,1.323638344,29.03635077,3.505335846,3.485927382,3.415168384,3.352738889,7.616629253,0.260120714
