"","individualID","projectID","scientificName","scientificAbbreviation","dayCollected","monthCollected","yearCollected","locality","decimalLatitudeOriginal","decimalLongitudeOriginal","decimalLatitude","decimalLongitude","georeferenceProtocol","coordinateUncertaintyInMeters","depthOfColonyinMetersOriginal","depthOfColonyinMetersCorrected","EcoPlotID_full"
"23","23","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"24","24","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"25","25","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"26","26","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"27","27","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.900155","152.393624","-23.900155","152.393624","GPS EcoRRAP sites",60,"2-9",4.1,"CBLM_BA1S"
"28","28","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.900155","152.393624","-23.900155","152.393624","GPS EcoRRAP sites",60,"2-9",4.1,"CBLM_BA1S"
"29","29","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.900155","152.393624","-23.900155","152.393624","GPS EcoRRAP sites",60,"2-9",4.1,"CBLM_BA1S"
"30","30","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.900155","152.393624","-23.900155","152.393624","GPS EcoRRAP sites",60,"2-9",4.1,"CBLM_BA1S"
"31","31","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.900155","152.393624","-23.900155","152.393624","GPS EcoRRAP sites",60,"2-9",4.1,"CBLM_BA1S"
"32","32","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.900155","152.393624","-23.900155","152.393624","GPS EcoRRAP sites",60,"2-9",4.1,"CBLM_BA1S"
"33","33","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"34","34","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"35","35","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"36","36","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"37","37","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"38","38","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"39","39","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"40","40","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"41","41","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.894298","152.404406","-23.894298","152.404406","GPS EcoRRAP sites",60,"2-5",4.6,"CBLM_BA2S"
"42","42","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"43","42","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"44","43","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"45","44","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"46","45","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"47","46","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"48","47","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"49","48","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"50","49","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"51","50","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"52","51","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"53","52","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"54","52","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"55","53","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"56","54","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"57","55","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"58","56","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"59","57","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"60","58","ECO03","Acropora hyacinthus","Ahya","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"61","59","ECO03","Acropora hyacinthus","Ahya","18",5,2021,"North_Keppel","-23.085288","150.898847","-23.085288","150.898847","GPS EcoRRAP sites",60,"1-5",3.1,"KENK_FL1S"
"62","60","ECO03","Acropora hyacinthus","Ahya","18",5,2021,"North_Keppel","-23.085288","150.898847","-23.085288","150.898847","GPS EcoRRAP sites",60,"1-5",3.1,"KENK_FL1S"
"63","61","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"64","62","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"65","63","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"66","64","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"67","65","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"68","66","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"69","67","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"70","68","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"71","69","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Halfway","-23.201548","150.966419","-23.201548","150.966419","GPS EcoRRAP sites",60,"1-5",4.3,"KEHW_BA1S"
"72","70","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"73","70","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"74","71","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"75","71","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"76","72","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"77","72","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"78","73","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"79","74","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"80","75","ECO03","Acropora hyacinthus","Ahya","19",5,2021,"Great_Keppel","-23.196282","150.936693","-23.196282","150.936693","GPS EcoRRAP sites",60,"1-5",2.7,"KEGK_BA1S"
"81","76","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Middle","-23.162195","150.920995","-23.162195","150.920995","GPS EcoRRAP sites",60,"1-5",3.8,"KEMD_BA1S"
"82","77","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Middle","-23.162195","150.920995","-23.162195","150.920995","GPS EcoRRAP sites",60,"1-5",3.8,"KEMD_BA1S"
"83","78","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Middle","-23.162195","150.920995","-23.162195","150.920995","GPS EcoRRAP sites",60,"1-5",3.8,"KEMD_BA1S"
"84","79","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Middle","-23.162195","150.920995","-23.162195","150.920995","GPS EcoRRAP sites",60,"1-5",3.8,"KEMD_BA1S"
"85","80","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Middle","-23.162195","150.920995","-23.162195","150.920995","GPS EcoRRAP sites",60,"1-5",3.8,"KEMD_BA1S"
"86","81","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Middle","-23.162195","150.920995","-23.162195","150.920995","GPS EcoRRAP sites",60,"1-5",3.8,"KEMD_BA1S"
"87","82","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Miall","-23.15045","150.90317","-23.15045","150.90317","GPS EcoRRAP sites",60,"1-5",2.9,"KEML_BA1S"
"88","83","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Miall","-23.15045","150.90317","-23.15045","150.90317","GPS EcoRRAP sites",60,"1-5",2.9,"KEML_BA1S"
"89","84","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Miall","-23.15045","150.90317","-23.15045","150.90317","GPS EcoRRAP sites",60,"1-5",2.9,"KEML_BA1S"
"90","84","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Miall","-23.15045","150.90317","-23.15045","150.90317","GPS EcoRRAP sites",60,"1-5",2.9,"KEML_BA1S"
"91","85","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Miall","-23.15045","150.90317","-23.15045","150.90317","GPS EcoRRAP sites",60,"1-5",2.9,"KEML_BA1S"
"92","86","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Miall","-23.15045","150.90317","-23.15045","150.90317","GPS EcoRRAP sites",60,"1-5",2.9,"KEML_BA1S"
"93","87","ECO03","Acropora hyacinthus","Ahya","20",5,2021,"Miall","-23.15045","150.90317","-23.15045","150.90317","GPS EcoRRAP sites",60,"1-5",2.9,"KEML_BA1S"
"94","88","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"95","89","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"96","90","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"97","91","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"98","92","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"99","93","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"100","94","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"101","95","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"102","96","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"103","97","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"104","97","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"105","98","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"106","99","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"107","100","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"108","101","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"109","102","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.944082","147.699448","-18.944082","147.699448","GPS EcoRRAP sites",60,"1-5",4.7,"OCLB_FL1S"
"110","103","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"111","104","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"112","105","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"113","106","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"114","107","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"115","108","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"116","109","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"117","110","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"118","111","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"119","112","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"120","113","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"121","114","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"122","115","ECO03","Stylophora pistillata","Spis","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"123","116","ECO03","Acropora hyacinthus","Ahya","22",5,2021,"Little_Broadhurst","-18.949114","147.693065","-18.949114","147.693065","GPS EcoRRAP sites",60,"1-5",4.2,"OCLB_BA1S"
"124","117","ECO03","Acropora hyacinthus","Ahya","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"125","118","ECO03","Stylophora pistillata","Spis","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"126","119","ECO03","Stylophora pistillata","Spis","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"127","120","ECO03","Acropora hyacinthus","Ahya","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"128","121","ECO03","Stylophora pistillata","Spis","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"129","122","ECO03","Acropora hyacinthus","Ahya","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"130","123","ECO03","Stylophora pistillata","Spis","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"131","124","ECO03","Acropora hyacinthus","Ahya","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"132","125","ECO03","Stylophora pistillata","Spis","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"133","126","ECO03","Acropora hyacinthus","Ahya","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"134","127","ECO03","Acropora hyacinthus","Ahya","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"135","128","ECO03","Acropora hyacinthus","Ahya","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"136","129","ECO03","Stylophora pistillata","Spis","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
"137","130","ECO03","Stylophora pistillata","Spis","23",5,2021,"Chicken","-18.652112","147.718717","-18.652112","147.718717","GPS EcoRRAP sites",60,"1-5",5.7,"OCCH_FL1S"
